time_index,set_point,measurement,proportional,integrator,differentiator
0.11200,10.000,0.360,4.819,1.000,0.000
0.11240,10.000,0.349,4.825,1.000,0.000
0.11280,9.960,0.340,4.810,1.000,0.000
0.11320,10.000,0.334,4.832,1.000,0.000
0.11360,10.000,0.416,4.791,1.000,0.000
0.11400,9.956,0.476,4.740,1.000,0.000
0.11440,10.000,0.433,4.783,1.000,0.000
0.11480,9.977,0.402,4.787,1.000,0.000
0.11520,9.963,0.379,4.792,1.000,0.000
0.11560,9.979,0.362,4.808,1.000,0.000
0.11600,9.957,0.350,4.803,1.000,0.000
0.11640,10.000,0.428,4.785,1.000,0.000
0.11680,10.000,0.398,4.800,1.000,0.000
0.11720,10.000,0.376,4.811,1.000,0.000
0.11760,9.982,0.447,4.767,1.000,0.000
0.11800,10.000,0.412,4.793,1.000,0.000
0.11840,10.000,0.386,4.806,1.000,0.000
0.11880,10.000,0.454,4.772,1.000,0.000
0.11920,10.000,0.417,4.791,1.000,0.000
0.11960,10.000,0.390,4.804,1.000,0.000
0.12000,10.000,0.457,4.771,1.000,0.000
0.12040,10.000,0.506,4.746,1.000,0.000
0.12080,9.952,0.455,4.748,1.000,0.000
0.12120,10.000,0.417,4.791,1.000,0.000
0.12160,10.000,0.477,4.761,1.000,0.000
0.12200,9.964,0.520,4.722,1.000,0.000
0.12240,9.992,0.465,4.763,1.000,0.000
0.12280,10.000,0.425,4.787,1.000,0.000
0.12320,9.966,0.482,4.741,1.000,0.000
0.12360,10.000,0.438,4.780,1.000,0.000
0.12400,10.000,0.492,4.753,1.000,0.000
0.12440,9.988,0.531,4.728,1.000,0.000
0.12480,10.000,0.473,4.763,1.000,0.000
0.12520,9.979,0.431,4.773,1.000,0.000
0.12560,10.000,0.400,4.799,1.000,0.000
0.12600,9.966,0.464,4.751,1.000,0.000
0.12640,9.955,0.511,4.722,1.000,0.000
0.12680,10.000,0.458,4.770,1.000,0.000
0.12720,9.955,0.420,4.767,1.000,0.000
0.12760,9.916,0.479,4.718,1.000,0.000
0.12800,9.973,0.522,4.725,1.000,0.000
0.12840,9.970,0.466,4.751,1.000,0.000
0.12880,10.000,0.426,4.786,1.000,0.000
0.12920,10.000,0.483,4.758,1.000,0.000
0.12960,9.989,0.525,4.732,1.000,0.000
0.13000,9.952,0.555,4.698,1.000,0.000
0.13040,9.954,0.490,4.731,1.000,0.000
0.13080,9.930,0.444,4.743,1.000,0.000
0.13120,9.962,0.496,4.733,1.000,0.000
0.13160,10.000,0.534,4.732,1.000,0.000
0.13200,10.000,0.475,4.762,1.000,0.000
0.13240,9.996,0.433,4.781,1.000,0.000
0.13280,9.975,0.488,4.743,1.000,0.000
0.13320,10.000,0.528,4.735,1.000,0.000
0.13360,10.000,0.557,4.721,1.000,0.000
0.13400,9.923,0.579,4.672,1.000,0.000
0.13440,9.987,0.594,4.696,1.000,0.000
0.13480,9.946,0.606,4.670,1.000,0.000
0.13520,10.000,0.528,4.735,1.000,0.000
0.13560,10.000,0.471,4.764,1.000,0.000
0.13600,9.997,0.516,4.740,1.000,0.000
0.13640,9.981,0.548,4.716,1.000,0.000
0.13680,9.978,0.572,4.702,1.000,0.000
0.13720,10.000,0.589,4.705,1.000,0.000
0.13760,9.984,0.602,4.691,1.000,0.000
0.13800,10.000,0.525,4.737,1.000,0.000
0.13840,9.994,0.469,4.762,1.000,0.000
0.13880,9.978,0.514,4.731,1.000,0.000
0.13920,9.991,0.547,4.721,1.000,0.000
0.13960,9.984,0.571,4.706,1.000,0.000
0.14000,10.000,0.589,4.705,1.000,0.000
0.14040,10.000,0.602,4.698,1.000,0.000
0.14080,9.983,0.698,4.642,1.000,0.000
0.14120,9.972,0.681,4.645,1.000,0.000
0.14160,9.994,0.582,4.705,1.000,0.000
0.14200,10.000,0.597,4.701,1.000,0.000
0.14240,10.000,0.608,4.695,1.000,0.000
0.14280,10.000,0.615,4.692,1.000,0.000
0.14320,10.000,0.621,4.689,1.000,0.000
0.14360,9.980,0.625,4.677,1.000,0.000
0.14400,10.000,0.628,4.685,1.000,0.000
0.14440,9.991,0.630,4.680,1.000,0.000
0.14480,9.822,0.632,4.595,1.000,0.000
0.14520,10.000,0.633,4.683,1.000,0.000
0.14560,10.000,0.547,4.726,1.000,0.000
0.14600,9.989,0.485,4.752,1.000,0.000
0.14640,10.000,0.526,4.736,1.000,0.000
0.14680,10.000,0.556,4.721,1.000,0.000
0.14720,10.000,0.578,4.710,1.000,0.000
0.14760,9.961,0.594,4.683,1.000,0.000
0.14800,9.955,0.605,4.675,1.000,0.000
0.14840,10.000,0.614,4.692,1.000,0.000
0.14880,9.994,0.706,4.644,1.000,0.000
0.14920,10.000,0.774,4.612,1.000,0.000
0.14960,9.972,0.650,4.661,1.000,0.000
0.15000,10.000,0.560,4.719,1.000,0.000
0.15040,9.994,0.580,4.706,1.000,0.000
0.15080,10.000,0.596,4.701,1.000,0.000
0.15120,9.971,0.607,4.682,1.000,0.000
0.15160,9.977,0.615,4.681,1.000,0.000
0.15200,10.000,0.620,4.689,1.000,0.000
0.15240,9.947,0.625,4.661,1.000,0.000
0.15280,9.957,0.628,4.664,1.000,0.000
0.15320,10.000,0.630,4.684,1.000,0.000
0.15360,9.938,0.632,4.653,1.000,0.000
0.15400,10.000,0.719,4.640,1.000,0.000
0.15440,10.000,0.783,4.608,1.000,0.000
0.15480,9.909,0.743,4.582,1.000,0.000
0.15520,10.000,0.628,4.685,1.000,0.000
0.15560,9.924,0.544,4.690,1.000,0.000
0.15600,9.991,0.569,4.711,1.000,0.000
0.15640,10.000,0.673,4.663,1.000,0.000
0.15680,9.325,0.750,4.287,1.000,0.000
0.15720,9.835,0.719,4.558,1.000,0.000
0.15760,10.000,0.696,4.651,1.000,0.000
0.15800,9.956,0.680,4.637,1.000,0.000
0.15840,10.000,0.668,4.665,1.000,0.000
0.15880,9.941,0.659,4.640,1.000,0.000
0.15920,10.000,0.653,4.673,1.000,0.000
0.15960,9.316,0.648,4.333,1.000,0.000
0.16000,10.000,0.645,4.677,1.000,0.000
0.16040,10.000,0.643,4.678,1.000,0.000
0.16080,9.998,0.641,4.678,1.000,0.000
0.16120,10.000,0.640,4.679,1.000,0.000
0.16160,9.991,0.639,4.676,1.000,0.000
0.16200,10.000,0.638,4.680,1.000,0.000
0.16240,10.000,0.637,4.681,1.000,0.000
0.16280,10.000,0.637,4.681,1.000,0.000
0.16320,9.361,0.637,4.361,1.000,0.000
0.16360,10.000,0.723,4.638,1.000,0.000
